cores,mean_t,std_t,med_t,99_t,75_t,25_t
1,639673.7120,986.5374,640016.0000,641104.0000,640384.0000,638736.0000
2,435853.7600,778.1883,436064.0000,437008.0000,436352.0000,435408.0000
3,345617.8368,717.6570,345728.0000,346688.1600,346032.0000,345392.0000
4,306684.3392,761.4959,306800.0000,307904.0000,307136.0000,306432.0000
5,269809.9648,846.9791,269840.0000,271504.1600,270304.0000,269452.0000
6,251150.8160,715.0793,251248.0000,252288.1600,251536.0000,250960.0000
7,246531.1840,1288.7864,246544.0000,248832.0000,247584.0000,245568.0000
8,223225.1168,1079.9799,223184.0000,225344.0000,223936.0000,222496.0000
9,208464.6336,966.0509,208448.0000,210256.0000,209024.0000,207920.0000
10,193258.8832,841.4249,193296.0000,194784.0000,193696.0000,192880.0000
11,183879.9552,814.6250,183920.0000,185280.0000,184352.0000,183548.0000
12,173904.5280,825.6702,174000.0000,175264.0000,174416.0000,173520.0000
13,162952.0512,866.2078,163136.0000,164208.0000,163536.0000,162512.0000
14,130781.4080,636.1927,130880.0000,131584.0000,131060.0000,130704.0000
15,124430.9568,697.2638,124496.0000,125600.1600,124784.0000,124256.0000
16,122706.1248,636.5246,122800.0000,123584.0000,122976.0000,122640.0000
17,117923.5584,635.9684,118032.0000,118688.0000,118208.0000,117856.0000
18,112364.4544,631.0984,112480.0000,113120.0000,112656.0000,112304.0000
19,112348.3296,628.3313,112448.0000,113104.0000,112640.0000,112272.0000
20,106936.6752,628.4183,107056.0000,107664.0000,107216.0000,106880.0000
21,101963.7056,626.6673,102064.0000,102672.0000,102256.0000,101904.0000
22,93824.0320,653.0422,93936.0000,94640.0000,94160.0000,93712.0000
23,92063.2128,633.1794,92192.0000,92752.0000,92352.0000,92000.0000
24,87679.1200,624.2202,87792.0000,88336.0000,87952.0000,87632.0000
25,83289.4720,662.1855,83392.0000,84080.0000,83648.0000,83136.0000
26,82836.2496,621.8855,82960.0000,83472.0000,83104.0000,82800.0000
27,82744.0032,634.6501,82864.0000,83424.0000,83040.0000,82688.0000
28,82682.3456,630.0739,82800.0000,83376.0000,82960.0000,82624.0000
29,80461.5296,634.0526,80576.0000,81264.0000,80740.0000,80400.0000
30,73904.2208,653.7408,74032.0000,74624.0000,74240.0000,73808.0000
31,70062.2528,701.3648,70208.0000,70992.0000,70464.0000,69872.0000
