cores,mean_t,std_t,med_t,99_t,75_t,25_t
1,606274.8096,1011.2501,606496.0000,607984.0000,606864.0000,605776.0000
2,374171.6128,3596.2818,373552.0000,384192.3200,376352.0000,371424.0000
3,299698.7232,3075.1710,299280.0000,308432.3200,301472.0000,297520.0000
4,265532.0704,2946.1880,265152.0000,274240.3200,267216.0000,263440.0000
5,246151.8144,2513.5356,245872.0000,253168.6400,247632.0000,244432.0000
6,235043.0976,2375.9890,234848.0000,241680.1600,236432.0000,233408.0000
7,228558.3776,2194.2682,228320.0000,234512.4800,229840.0000,227072.0000
8,201604.7712,2674.4197,201472.0000,208464.3200,203264.0000,199824.0000
9,181853.0208,2928.5700,181792.0000,189200.3200,183712.0000,179952.0000
10,164543.6160,2960.2565,164544.0000,171856.1600,166464.0000,162604.0000
11,152939.0688,3006.4485,152928.0000,160064.0000,154880.0000,150960.0000
12,141312.3328,3034.3474,141280.0000,148576.0000,143332.0000,139280.0000
13,129655.5296,3016.5831,129648.0000,136832.1600,131680.0000,127600.0000
14,124125.9424,2905.2795,123984.0000,131712.1600,125968.0000,122016.0000
15,120811.3792,2249.2905,120560.0000,126800.0000,122128.0000,119276.0000
16,115237.4880,2643.1707,115040.0000,122016.1600,116960.0000,113392.0000
17,109269.9488,2343.1116,109040.0000,115648.3200,110688.0000,107696.0000
18,103537.2064,2346.4745,103376.0000,109760.1600,104976.0000,101936.0000
19,102323.2576,2816.7457,102184.0000,109344.3200,104192.0000,100332.0000
20,96135.7472,2350.1355,95968.0000,102480.1600,97556.0000,94608.0000
21,91099.7408,2318.8514,90944.0000,97120.3200,92560.0000,89552.0000
22,89630.3584,2702.6105,89472.0000,96416.3200,91344.0000,87760.0000
23,88445.7568,2623.2366,88272.0000,95104.1600,90112.0000,86640.0000
24,84026.1984,2311.3688,83856.0000,90209.6000,85424.0000,82448.0000
25,80186.9024,2103.4461,80000.0000,86048.0000,81344.0000,78832.0000
26,78388.0384,2144.6414,78288.0000,84032.4800,79696.0000,76912.0000
27,77456.0384,2282.2612,77272.0000,83456.4800,78852.0000,75888.0000
28,76951.8304,2533.6336,76784.0000,83360.8000,78592.0000,75216.0000
29,74642.9856,2377.6164,74480.0000,80928.4800,76144.0000,73072.0000
30,72053.6320,2385.0361,71888.0000,78032.3200,73536.0000,70432.0000
31,69317.4592,2307.7611,69104.0000,75344.0000,70688.0000,67696.0000
