cores,mean_t,std_t,med_t,99_t,75_t,25_t
1,666725.0080,358.0001,666800.0000,667424.0000,666992.0000,666384.0000
2,506994.8032,437.6263,507040.0000,507872.0000,507312.0000,506704.0000
3,440649.5968,783.3432,440784.0000,441984.1600,441216.0000,440224.0000
4,416635.1744,880.2730,416704.0000,418336.0000,417296.0000,416016.0000
5,397072.0448,502.6924,397120.0000,398016.0000,397456.0000,396720.0000
6,389796.8640,399.2277,389808.0000,390656.0000,390064.0000,389504.0000
7,386022.2528,361.1950,386064.0000,386736.0000,386288.0000,385760.0000
8,350160.1024,346.9964,350208.0000,350832.0000,350416.0000,349872.0000
9,323759.0624,335.3070,323824.0000,324432.0000,324016.0000,323472.0000
10,300110.1824,343.5718,300176.0000,300800.0000,300368.0000,299808.0000
11,284289.8560,337.2969,284352.0000,284944.0000,284544.0000,283984.0000
12,267658.3104,371.2754,267712.0000,268384.0000,267936.0000,267360.0000
13,249588.3072,402.5768,249616.0000,250416.0000,249872.0000,249296.0000
14,200388.7136,338.5012,200480.0000,201024.0000,200640.0000,200080.0000
15,190686.9952,346.3120,190752.0000,191376.0000,190944.0000,190380.0000
16,191479.1296,340.6201,191536.0000,192160.0000,191728.0000,191200.0000
17,181505.9584,334.0151,181584.0000,182144.0000,181760.0000,181184.0000
18,173800.3808,346.6040,173872.0000,174480.0000,174048.0000,173456.0000
19,173799.8944,344.6479,173888.0000,174464.0000,174048.0000,173456.0000
20,162462.9856,345.4698,162544.0000,163120.0000,162704.0000,162128.0000
21,156174.6976,343.9195,156256.0000,156880.0000,156432.0000,155840.0000
22,142927.9296,333.4913,143008.0000,143568.0000,143184.0000,142592.0000
23,140021.8880,353.1972,140080.0000,140720.3200,140288.0000,139744.0000
24,130508.7840,346.7751,130592.0000,131152.0000,130768.0000,130176.0000
25,124545.6128,361.9712,124608.0000,125248.0000,124800.0000,124208.0000
26,124546.2976,362.2745,124608.0000,125248.0000,124816.0000,124224.0000
27,124400.4224,327.3406,124480.0000,125024.0000,124640.0000,124112.0000
28,124398.8512,325.1774,124480.0000,125024.0000,124640.0000,124112.0000
29,120039.2096,339.5082,120096.0000,120704.0000,120272.0000,119776.0000
30,106933.2576,321.9234,107008.0000,107536.0000,107168.0000,106624.0000
31,100364.3968,329.8822,100432.0000,100992.1600,100592.0000,100064.0000
