work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,4552.2560,150.8009,4560.0000,4896.0000,4624.0000,4400.0000
2,9991.7344,25.3171,10000.0000,10016.0000,10000.0000,9984.0000
3,12787.9744,30.3271,12784.0000,12864.0000,12800.0000,12768.0000
4,12844.3488,35.9602,12848.0000,12896.0000,12864.0000,12832.0000
5,15058.2848,36.3310,15056.0000,15120.0000,15072.0000,15040.0000
6,19308.6912,51.9644,19280.0000,19424.0000,19344.0000,19280.0000
7,23123.5488,35.2255,23120.0000,23184.0000,23136.0000,23104.0000
8,23123.0080,39.5839,23120.0000,23184.0000,23152.0000,23104.0000
9,24787.2384,41.3229,24784.0000,24864.0000,24816.0000,24768.0000
10,25834.1472,37.0012,25840.0000,25904.0000,25856.0000,25808.0000
11,30563.5680,28.3325,30560.0000,30624.0000,30576.0000,30544.0000
12,31441.5584,27.1902,31440.0000,31504.0000,31456.0000,31424.0000
13,35236.3168,34.9497,35232.0000,35312.0000,35264.0000,35216.0000
14,36222.5856,39.0196,36224.0000,36304.0000,36240.0000,36208.0000
15,36264.3392,60.1573,36272.0000,36368.0000,36320.0000,36208.0000
16,37439.1904,87.5620,37408.0000,37600.0000,37520.0000,37376.0000
17,39188.9216,33.0878,39184.0000,39264.0000,39200.0000,39168.0000
18,40071.4560,61.4501,40080.0000,40192.0000,40112.0000,40016.0000
19,44794.6912,86.5008,44816.0000,44912.0000,44848.0000,44736.0000
20,45697.5072,71.8899,45696.0000,45824.0000,45760.0000,45664.0000
21,49341.2896,44.0552,49344.0000,49424.0000,49360.0000,49312.0000
22,50441.0176,87.1334,50464.0000,50576.0000,50512.0000,50368.0000
23,50370.9024,64.9752,50384.0000,50496.0000,50400.0000,50352.0000
24,51469.2288,104.5348,51472.0000,51648.0000,51552.0000,51408.0000
25,52518.3360,66.7535,52528.0000,52624.0000,52576.0000,52464.0000
26,53488.6368,69.9941,53488.0000,53632.0000,53536.0000,53440.0000
27,54393.5520,45.3605,54400.0000,54496.0000,54416.0000,54368.0000
28,55561.9200,79.7365,55552.0000,55744.0000,55600.0000,55520.0000
