work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,31787.9200,668.6816,31984.0000,32512.0000,32208.0000,31488.0000
2,44613.3664,661.0805,44752.0000,45280.0000,44976.0000,44352.0000
3,45493.1712,653.4639,45664.0000,46192.0000,45888.0000,45280.0000
4,46526.5856,664.0263,46688.0000,47232.0000,46896.0000,46320.0000
5,51656.5248,667.3394,51856.0000,52368.1600,52064.0000,51376.0000
6,59875.7888,666.3616,60080.0000,60576.0000,60304.0000,59584.0000
7,64847.3792,659.2937,64976.0000,65568.0000,65200.0000,64672.0000
8,64571.9840,664.3780,64752.0000,65296.0000,64976.0000,64304.0000
9,69398.7712,693.5190,69584.0000,70256.0000,69824.0000,69088.0000
10,72580.0512,689.6483,72640.0000,73504.0000,72992.0000,72352.0000
11,80117.4336,688.1271,80288.0000,80992.1600,80528.0000,79872.0000
12,81701.4976,671.1068,81864.0000,82528.0000,82080.0000,81440.0000
13,88352.6816,650.2719,88496.0000,89152.0000,88688.0000,88192.0000
14,90608.3072,661.3837,90720.0000,91456.0000,90944.0000,90496.0000
15,91087.9040,643.3939,91184.0000,92000.0000,91376.0000,90992.0000
16,94422.9376,686.8088,94544.0000,95392.0000,94784.0000,94240.0000
17,98520.1536,654.3209,98672.0000,99312.0000,98848.0000,98368.0000
18,100378.6208,669.8735,100560.0000,101168.0000,100752.0000,100160.0000
19,108542.5120,648.8256,108704.0000,109296.0000,108864.0000,108384.0000
20,110585.7984,647.9344,110736.0000,111392.0000,110912.0000,110432.0000
21,116869.8848,664.2139,116992.0000,117760.0000,117200.0000,116736.0000
22,119389.2448,733.6434,119472.0000,120576.1600,119808.0000,119120.0000
23,120148.7904,652.5511,120256.0000,121040.0000,120464.0000,120016.0000
24,123119.0240,655.5391,123216.0000,124048.0000,123440.0000,123008.0000
25,125119.7504,701.6668,125296.0000,126016.0000,125536.0000,124832.0000
26,127021.7344,710.7779,127152.0000,128160.0000,127424.0000,126784.0000
27,130523.6000,803.1012,130576.0000,131808.0000,131056.0000,130192.0000
28,133404.9536,736.9393,133488.0000,134480.0000,133872.0000,133168.0000
