work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,32703.4592,802.9997,32928.0000,33648.1600,33136.0000,32384.0000
2,45509.6384,1109.1977,45392.0000,47664.0000,45648.0000,44880.0000
3,47067.0176,837.1820,47168.0000,48496.0000,47424.0000,46816.0000
4,47676.4032,876.8605,47824.0000,48752.0000,48240.0000,47408.0000
5,51325.8592,1086.3411,51632.0000,52672.0000,52096.0000,50496.0000
6,61172.5472,1175.0588,61664.0000,62672.1600,62096.0000,60160.0000
7,64629.9136,1199.6171,65168.0000,66176.1600,65488.0000,63600.0000
8,65390.6752,795.2158,65520.0000,66480.0000,65776.0000,65248.0000
9,70082.6240,1171.7135,70432.0000,71920.0000,70912.0000,69296.0000
10,73220.8832,2047.6612,73296.0000,78176.0000,74464.0000,71696.0000
11,82179.0784,1835.4285,82128.0000,86704.1600,83264.0000,81024.0000
12,85010.9728,2125.5584,85008.0000,90064.3200,86400.0000,83536.0000
13,90244.3712,2316.3441,90176.0000,95696.0000,91792.0000,88624.0000
14,92916.9440,2432.5361,92928.0000,98576.0000,94528.0000,91216.0000
15,93881.2000,1947.2040,93792.0000,98672.1600,95136.0000,92592.0000
16,96340.5088,2043.1623,96320.0000,101120.1600,97744.0000,94940.0000
17,100329.0208,2492.4672,100016.0000,107024.6400,101908.0000,98528.0000
18,102645.0784,2541.0795,102352.0000,108992.0000,104336.0000,100716.0000
19,111578.4800,2389.2499,111584.0000,117216.6400,113152.0000,109952.0000
20,113966.5120,2364.1736,113896.0000,119680.0000,115504.0000,112384.0000
21,119526.7552,2860.7524,119424.0000,126368.1600,121424.0000,117520.0000
22,121884.5504,2910.3252,121824.0000,128720.1600,123872.0000,119804.0000
23,122705.5808,2273.2777,122704.0000,128032.0000,124292.0000,121072.0000
24,124872.8288,2264.0555,124848.0000,130192.0000,126416.0000,123344.0000
25,128884.6240,2707.4366,128552.0000,135808.1600,130576.0000,126928.0000
26,131031.6000,2715.0416,130776.0000,137872.0000,132736.0000,129024.0000
27,133949.4240,3049.3002,133632.0000,141888.0000,135860.0000,131696.0000
28,137762.9728,3632.1819,137328.0000,147744.6400,139984.0000,135136.0000
