work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,28589.0784,426.3367,28704.0000,29312.0000,28928.0000,28096.0000
2,53977.6864,700.3741,54208.0000,55056.0000,54528.0000,53024.0000
3,78925.7312,695.9525,79168.0000,80000.0000,79456.0000,77968.0000
4,103942.3744,757.2700,104208.0000,105072.0000,104512.0000,102896.0000
5,128987.2160,830.6637,129280.0000,130224.0000,129600.0000,127824.0000
6,153888.1280,820.1109,154160.0000,155072.0000,154528.0000,152736.0000
7,178914.0672,893.4428,179216.0000,180224.0000,179600.0000,177648.0000
8,203903.4272,919.2954,204240.0000,205216.0000,204592.0000,202592.0000
9,231759.9040,972.1993,232112.0000,233184.0000,232496.0000,230384.0000
10,239877.3056,982.3978,240208.0000,241280.0000,240612.0000,238480.0000
11,267446.1760,966.7440,267776.0000,268848.0000,268192.0000,266080.0000
12,275584.6496,974.0341,275952.0000,276944.1600,276320.0000,274208.0000
13,303309.3696,1022.2043,303680.0000,304752.0000,304080.0000,301840.0000
14,311392.4480,1021.5104,311776.0000,312864.1600,312160.0000,309936.0000
15,339027.0944,1021.3563,339424.0000,340448.0000,339776.0000,337568.0000
16,347136.7808,1035.4190,347488.0000,348608.0000,347920.0000,345664.0000
17,374810.1952,1033.2524,375152.0000,376256.0000,375584.0000,373344.0000
18,382911.2928,1027.5509,383296.0000,384432.0000,383664.0000,381440.0000
19,410623.8144,1099.4432,411024.0000,412224.0000,411424.0000,409056.0000
20,418719.6672,1095.8441,419136.0000,420288.1600,419568.0000,417152.0000
21,446375.4176,1095.2439,446800.0000,447936.0000,447216.0000,444816.0000
22,454483.7696,1097.3628,454880.0000,456016.1600,455296.0000,452912.0000
23,482088.3648,1096.7546,482480.0000,483664.0000,482912.0000,480528.0000
24,490200.5504,1096.2323,490624.0000,491760.0000,491040.0000,488624.0000
25,525118.6976,1182.7584,525568.0000,526784.1600,526032.0000,523408.0000
26,533182.1728,1173.7511,533584.0000,534864.0000,534032.0000,531488.0000
27,541307.8400,1185.2914,541760.0000,543056.0000,542208.0000,539584.0000
28,549434.4896,1180.8194,549856.0000,551088.0000,550288.0000,547712.0000
