work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,8982.5216,265.2160,9056.0000,9504.0000,9168.0000,8752.0000
2,20989.0976,279.8393,21056.0000,21520.0000,21184.0000,20752.0000
3,32989.1712,290.9968,33040.0000,33584.0000,33200.0000,32736.0000
4,44940.4352,270.8270,44976.0000,45456.0000,45136.0000,44736.0000
5,56928.8384,275.4462,56976.0000,57488.0000,57104.0000,56720.0000
6,68930.6272,284.4644,68976.0000,69456.0000,69136.0000,68720.0000
7,80928.4544,290.1174,80976.0000,81552.0000,81120.0000,80704.0000
8,92907.4080,286.0593,92944.0000,93488.0000,93088.0000,92688.0000
9,105877.1424,293.3519,105920.0000,106480.0000,106064.0000,105664.0000
10,111910.2336,291.6939,111952.0000,112496.1600,112096.0000,111696.0000
11,124791.9552,292.8530,124832.0000,125392.0000,124992.0000,124576.0000
12,130821.1584,296.5787,130864.0000,131440.0000,131024.0000,130608.0000
13,143696.4064,293.7596,143744.0000,144288.0000,143920.0000,143472.0000
14,149751.7344,278.7702,149808.0000,150288.0000,149968.0000,149552.0000
15,162637.8656,283.4994,162688.0000,163200.0000,162848.0000,162432.0000
16,168661.5872,284.0532,168720.0000,169216.0000,168848.0000,168464.0000
17,181542.0128,288.7796,181584.0000,182128.0000,181712.0000,181340.0000
18,187568.3520,285.7354,187600.0000,188160.0000,187760.0000,187376.0000
19,200447.7472,289.6357,200480.0000,201040.0000,200640.0000,200256.0000
20,206474.4256,291.7936,206512.0000,207056.0000,206672.0000,206272.0000
21,219351.0464,296.0421,219408.0000,219904.0000,219568.0000,219152.0000
22,225376.9920,296.0115,225424.0000,225936.1600,225600.0000,225184.0000
23,238259.8912,301.9944,238304.0000,238864.1600,238464.0000,238064.0000
24,244284.5536,304.8687,244336.0000,244880.0000,244480.0000,244080.0000
25,258760.2944,302.5602,258800.0000,259392.0000,258960.0000,258560.0000
26,264771.6640,298.2713,264800.0000,265376.0000,264960.0000,264576.0000
27,270796.9152,296.7404,270816.0000,271424.0000,270992.0000,270608.0000
28,276820.1984,298.9749,276848.0000,277440.0000,277024.0000,276624.0000
